city,street,percent of religious,socio-economic index value,socio-economic rank,socio-economic cluster
חיפה,שדרות קיש,,1.396,1400.0,8.0
חיפה,יפה נוף,0.0,1.046,1214.0,7.4
חיפה,סולד הנרייטה,,1.396,1400.0,8.0
חיפה,שדרות הנשיא,0.0,1.252,1332.0,8.0
חיפה,וודג'ווד,,1.063,1246.0,8.0
חיפה,וולפסון,,1.412,1405.0,8.0
חיפה,קדימה,0.0,1.576,1468.0,8.0
חיפה,רענן,0.0,1.067,1224.5,7.5
חיפה,כבירים,0.0,1.067,1224.5,7.5
חיפה,שדרות הצבי,0.0,1.576,1468.0,8.0
חיפה,אילנות,,1.478,1434.0,8.0
חיפה,שושנת הכרמל,,1.478,1434.0,8.0
חיפה,הרקפות,,1.478,1434.0,8.0
חיפה,ככר הרקפות,,1.478,1434.0,8.0
חיפה,לבונה,,0.559,981.0,7.0
חיפה,מור,,0.559,981.0,7.0
חיפה,אל מוהדי,,0.559,981.0,7.0
חיפה,התמר,0.0,1.174,1295.0,8.0
חיפה,חרוב,0.0,1.174,1295.0,8.0
חיפה,הרדוף,0.0,1.174,1295.0,8.0
חיפה,הסנה,0.0,1.174,1295.0,8.0
חיפה,טשרניחובסקי,0.0,1.289,1348.667,8.0
חיפה,זולא אמיל,0.0,1.176,1296.0,8.0
חיפה,"קאודרס בן ציון ד""ר",0.0,1.176,1296.0,8.0
חיפה,ויקטור הוגו,0.0,1.176,1296.0,8.0
חיפה,התשבי,,1.437,1415.0,8.0
חיפה,עובדיה,,1.437,1415.0,8.0
חיפה,עבאס,,0.326,834.0,6.0
חיפה,הבישוף חג'אר,,0.576,994.0,7.0
חיפה,שפרה,,0.076,674.0,5.0
חיפה,הלל,,-0.42,401.0,4.0
חיפה,מסדה,,-0.42,401.0,4.0
חיפה,בן יהודה,,-0.603,336.0,3.5
חיפה,טבריה,,-0.42,401.0,4.0
חיפה,שדרות גולומב אליהו,,0.155,730.0,6.0
חיפה,ארלוזורוב,48.47,-0.832,316.6,3.0
חיפה,בלפור,18.53,-0.67,380.667,3.333
חיפה,גאולה,59.01,-0.789,367.5,3.0
חיפה,הפועל,62.15,-0.96,248.5,2.5
חיפה,המימוני,30.43,-0.055,625.5,4.5
חיפה,רבי עקיבא,26.99,0.393,884.0,6.0
חיפה,יוסף (הגדם),24.59,-0.877,250.0,2.0
חיפה,פבזנר,24.59,-0.877,250.0,2.0
חיפה,נורדאו,24.59,-0.877,250.0,2.0
חיפה,הרצליה,,-0.786,271.0,3.0
חיפה,הנביאים,,-1.093,203.0,2.5
חיפה,שמריהו לוין,,-1.4,135.0,2.0
חיפה,הרצל,48.78,-1.46,120.5,2.0
חיפה,החלוץ,,-1.4,135.0,2.0
חיפה,חסן שוקרי,0.0,-1.345,148.5,2.0
חיפה,מרכוס הרב,0.0,-1.29,162.0,2.0
חיפה,ביאליק,0.0,-1.29,162.0,2.0
חיפה,מעלה השחרור,0.0,-1.29,162.0,2.0
חיפה,השומר,48.78,-1.52,106.0,2.0
חיפה,ברזילי,48.78,-1.52,106.0,2.0
חיפה,מיכאל,81.66,-1.417,130.0,2.0
חיפה,חרמון,81.66,-1.417,130.0,2.0
חיפה,דרך נחל הגיבורים,47.18,-0.165,652.4,4.6
חיפה,מקור ברוך,93.71,-1.627,89.0,1.0
חיפה,קניאל יהושע הרב,27.26,-0.115,549.0,5.0
חיפה,משעול תורת חיים,27.26,-0.115,549.0,5.0
חיפה,דרך יד לבנים,0.0,-0.424,461.8,3.8
חיפה,גוש עציון,,-1.119,188.0,2.0
חיפה,רזיאל דוד,,-0.761,296.5,3.0
חיפה,פאר,,-0.403,405.0,4.0
חיפה,הירדן,,-0.403,405.0,4.0
חיפה,החשמל,0.0,-0.998,211.0,2.0
חיפה,"דורי יעקב רא""ל",13.41,0.05,704.75,5.0
חיפה,דולצ'ין אריה,0.0,0.074,670.0,5.0
חיפה,תענך,0.0,0.074,670.0,5.0
חיפה,משאש הרב,0.0,0.446,892.5,6.0
חיפה,ערד,0.0,0.074,670.0,5.0
חיפה,סלומון יעקב,,0.818,1115.0,7.0
חיפה,חזן יעקב,,0.818,1115.0,7.0
חיפה,שדרות טרומפלדור,17.1,0.374,848.0,6.0
חיפה,לוחמי חרות ישראל,15.09,0.08,677.0,5.333
חיפה,הגליל,13.43,0.241,779.8,5.8
חיפה,מימון הרב,21.82,0.189,746.5,5.5
חיפה,חניתה,8.63,0.275,804.0,6.0
חיפה,שאול,11.56,0.117,701.5,5.5
חיפה,התיכון,8.63,0.275,802.0,6.0
חיפה,נתיב חן,3.49,0.592,1003.0,7.0
חיפה,טבנקין יצחק,2.31,0.458,919.0,6.5
חיפה,ניסנבוים,0.0,0.354,856.0,6.0
חיפה,סילבר אבא הלל,0.0,0.291,816.333,6.0
חיפה,קליבנוב,,0.384,877.0,6.0
חיפה,צ'רניאבסקי אהרון,,0.384,877.0,6.0
חיפה,גולן שמחה,26.44,0.898,1119.25,7.25
חיפה,פינסקר,26.44,0.305,824.0,6.0
חיפה,"אד""ם הכהן",26.44,0.305,824.0,6.0
חיפה,"מל""ל",26.44,1.013,1167.0,7.5
חיפה,שדרות רוז,0.0,0.791,1024.0,7.0
חיפה,שדרות שיקגו,0.0,-0.138,538.0,5.0
חיפה,"בירם ד""ר",0.45,1.424,1359.667,8.167
חיפה,יערי מאיר,1.43,1.269,1326.5,8.0
חיפה,יגאל אלון,,1.72,1510.0,9.0
חיפה,אינטרנשיונל,1.43,1.118,1265.333,7.667
חיפה,דרך חנקין,1.43,1.269,1332.0,8.0
חיפה,שניאור זלמן,0.9,1.013,1214.0,7.5
חיפה,קומוי נתן,3.45,1.328,1368.0,8.0
חיפה,בת חן,,1.687,1503.0,9.0
חיפה,דוכיפת,,1.687,1503.0,9.0
חיפה,חוחית,,1.687,1503.0,9.0
חיפה,לוין גוטל,,1.434,1413.0,8.0
חיפה,נעמי שמר,,,,
חיפה,הדודאים,,,,
חיפה,יהודה עמיחי,,,,
חיפה,הגבעטרון,,,,
חיפה,"פיק""א",0.0,1.528,1423.667,8.333
חיפה,אורן,,1.138,1280.0,8.0
חיפה,הצוללת דקר,,1.138,1280.0,8.0
חיפה,הפרחים,,1.138,1280.0,8.0
חיפה,"פלמ""ח",,1.4,1402.0,8.0
חיפה,קרן היסוד,,1.4,1402.0,8.0
חיפה,חורב,0.0,1.764,1515.6,8.8
חיפה,הראל,,1.43,1410.0,8.0
חיפה,פרויד,0.0,1.968,1565.0,9.0
חיפה,"שוויצר אלברט ד""ר",0.0,2.175,1598.0,9.0
חיפה,ולנברג ראול,0.0,2.175,1598.0,9.0
חיפה,שאגאל מארק,0.0,2.175,1598.0,9.0
חיפה,שדרות אבא חושי,0.0,1.678,1384.625,8.375
חיפה,אידר,,1.938,1562.0,9.0
חיפה,סורוקה משה,,1.938,1562.0,9.0
חיפה,אינשטיין אלברט,0.0,1.645,1490.0,9.0
חיפה,גבעת דאונס,0.0,1.645,1490.0,9.0
חיפה,יערות,0.0,1.645,1490.0,9.0
חיפה,הנטקה,0.0,2.016,1581.0,9.0
חיפה,הדסה,0.0,2.016,1581.0,9.0
חיפה,יקינתון,0.0,2.016,1581.0,9.0
חיפה,מאיר גולדה,,2.34,1609.0,9.0
חיפה,קויפמן יחזקאל פרופ',,2.34,1609.0,9.0
חיפה,"לסקוב חיים רא""ל",,2.34,1609.0,9.0
חיפה,טהון יעקב,,2.34,1609.0,9.0
חיפה,בליטנטל משה,0.0,1.324,1312.0,8.0
חיפה,אגוז,0.0,1.324,1312.0,8.0
חיפה,חלמיש,0.0,1.324,1312.0,8.0
חיפה,שינדלר אוסקר,,1.046,1085.0,7.0
חיפה,אורלנד יעקב,,2.151,1596.0,9.0
חיפה,זינגר מנדל,,2.151,1596.0,9.0
חיפה,שבדיה,,2.759,1622.0,10.0
חיפה,דניה,,2.759,1622.0,10.0
חיפה,שלונסקי,,2.759,1622.0,10.0
חיפה,אנטוורפן,,2.759,1622.0,10.0
נשר,דרך בר יהודה,0.0,-0.613,327.0,3.0
נשר,הקישון,,,,
נשר,הבטחון,,,,
נשר,המסילה,,,,
נשר,הפלדה,,,,
נשר,דרך השלום,0.0,-0.613,327.0,3.0
נשר,"צה""ל",0.0,0.444,884.25,5.75
נשר,אורן,0.0,0.171,756.0,5.0
נשר,דרך משה,0.0,0.744,1059.0,6.4
נשר,דרך הטכניון,,-0.028,599.0,5.0
נשר,מעלה הגבורים,,-0.028,599.0,5.0
נשר,ציון,,-0.028,599.0,5.0
נשר,ההסתדרות,,-0.028,599.0,5.0
נשר,הזית,0.0,0.955,1185.0,7.0
נשר,השיטה,0.0,1.292,1345.667,7.667
נשר,החרוב,0.0,1.259,1330.2,7.6
נשר,ששת הימים,,0.958,1188.0,7.0
נשר,החצב,,0.958,1188.0,7.0
נשר,הלוטם,,0.958,1188.0,7.0
נשר,הכלניות,0.0,0.455,928.0,6.0
נשר,יפה נוף,0.0,0.455,928.0,6.0
נשר,העליה,0.0,0.455,928.0,6.0
נשר,המגינים,0.0,0.455,928.0,6.0
נשר,דוכיפת,0.0,1.461,1426.0,8.0
נשר,נחשון,0.0,1.461,1426.0,8.0
נשר,התמר,0.0,1.461,1426.0,8.0
נשר,האשל,0.0,1.461,1426.0,8.0
נשר,התאנה,0.0,1.461,1426.0,8.0
קריית ביאליק,לוי יוסף,,,,
קריית ביאליק,חרושת,,,,
קריית ביאליק,מולר הנס,,,,
קריית ביאליק,"שדרות ח""ן",0.0,-0.66,309.0,3.0
קריית ביאליק,בעלי המלאכה,,,,
קריית ביאליק,יוספטל גיורא,0.0,-0.66,309.0,3.0
קריית ביאליק,"עגנון ש""י",0.0,-0.1,621.0,4.5
קריית ביאליק,ז'בוטינסקי,0.0,-0.66,309.0,3.0
קריית ביאליק,חיים וייסבורג,0.0,-0.1,621.0,4.5
קריית ביאליק,הפקאן,0.0,0.461,933.0,6.0
קריית ביאליק,גוש חלב,0.0,0.461,933.0,6.0
קריית ביאליק,התל,0.0,0.461,933.0,6.0
קריית ביאליק,חוגלה,0.0,0.962,1180.0,7.0
קריית ביאליק,נעמי שמר,0.0,0.461,933.0,6.0
קריית ביאליק,אריק איינשטיין,0.0,0.461,933.0,6.0
קריית ביאליק,אהוד מנור,0.0,0.461,933.0,6.0
קריית ביאליק,שדרות רבין,0.0,1.156,1271.75,7.5
קריית ביאליק,"אצ""ל",,1.464,1427.0,8.0
קריית ביאליק,שדרות המייסדים,,1.464,1427.0,8.0
קריית ביאליק,שדרות הבנים,,1.464,1427.0,8.0
קריית ביאליק,דרך בגין,,1.527,1450.0,8.0
קריית ביאליק,יקינתון,,1.527,1450.0,8.0
קריית ביאליק,שביל הפרדס,,1.527,1450.0,8.0
קריית ביאליק,חיננית,,1.527,1450.0,8.0
קריית ביאליק,הערמונים,,1.12,1260.5,7.5
קריית ביאליק,שבטי ישראל,0.0,0.477,928.5,6.5
קריית ביאליק,העצמאות,,0.642,1029.0,7.0
קריית ביאליק,מנשה,,0.623,1020.5,7.0
קריית ביאליק,קרן היסוד,0.0,0.616,1008.5,6.75
קריית ביאליק,דפנה,,0.726,1074.0,7.0
קריית ביאליק,התאנים,,0.605,1012.0,7.0
קריית ביאליק,דן,,0.605,1012.0,7.0
קריית ביאליק,"הפלמ""ח",0.0,0.505,943.0,6.5
קריית ביאליק,שמעון,0.0,0.312,828.0,6.0
קריית ביאליק,הגפן,0.0,0.697,1058.0,7.0
קריית ביאליק,דרך עכו,0.0,0.481,928.5,6.5
קריית ביאליק,שדרות בן גוריון,0.0,0.772,1097.0,7.0
קריית ביאליק,סולד,0.0,0.556,967.5,6.5
קריית ביאליק,אפרים,,0.847,1136.0,7.0
קריית ביאליק,שדרות ויצמן,0.0,0.264,799.0,6.0
קריית ביאליק,שדרות ירושלים,0.0,0.264,799.0,6.0
קריית ביאליק,קרן קיימת לישראל,0.0,0.264,799.0,6.0
קריית ביאליק,העמקים,0.0,0.264,799.0,6.0
קריית ביאליק,ההגנה,0.0,0.264,799.0,6.0
קריית ביאליק,הגליל,0.0,0.264,799.0,6.0
קריית ביאליק,חרמון,0.0,0.264,799.0,6.0
קריית ביאליק,כנען,0.0,0.264,799.0,6.0
